id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
66,Norberto,Murara Neto,Neto,u,Has joined Botafogo permanently.,,4.5,395,21.0,0.1,541,78.0,0.0,602.0,82.0,0,0,0.0,0,0.0,0,19,0.0,0.0,0.0,0.0,0.0,642.0,85.0,0.0,0.0,638.0,85.0,630.0,78.0,613.0,67.0,640.0,85.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Đorđe,Petrović,Petrović,a,,,4.5,422,24.0,5.4,72,13.0,2.2,174.0,14.0,-1,0,0.0,0,0.0,273,5718,0.5,12.0,2.2,2.2,3.0,177.0,18.0,,,29.0,9.0,645.0,80.0,631.0,70.0,195.0,9.0,,,,,,,,0.0,0.0,0.0,1.47,2.94,0.28,1.83,1.0,0.0,18,54.0,90.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,210.0,1925.0,14514.0,0.0,0.0,0.0,0.0,3.4599999999999973,16.80000000000001,0.0,0.0,1.7000000000000028,0.0,2.0,8.0,0.0
69,Callan,McKenna,McKenna,a,,,3.9,739,87.0,0.2,359,52.0,0.0,467.0,51.0,0,0,0.0,-1,1.0,221,50,0.0,0.0,0.0,0.0,0.0,525.0,57.0,,,518.0,57.0,505.0,44.0,472.0,29.0,519.0,57.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1109.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Alex,Scott,Scott,a,,,5.0,268,165.0,0.3,331,112.0,2.8,118.0,52.0,5,0,0.0,0,0.0,145,191,0.6,10.8,2.8,2.8,3.0,181.0,78.0,,,165.0,65.0,102.0,74.0,136.0,79.0,140.0,75.0,1.0,,,,,,,0.09,0.04,0.13,1.48,0.0,0.39,1.64,1.17,11.45,18,5.0,83.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,32.0,592.0,808.0,0.0,0.39,0.050000000000000044,0.43999999999999995,2.789999999999999,21.200000000000017,32.29999999999998,11.0,6.5,2.0,4.0,8.0,14.0
92,Romain,Faivre,Faivre,u,has joined Al Taawoun permanently.,,4.5,418,251.0,0.1,535,192.0,0.0,615.0,234.0,0,0,0.0,0,0.0,0,20,0.0,0.0,0.0,0.0,0.0,653.0,257.0,0.0,0.0,649.0,252.0,642.0,252.0,628.0,249.0,651.0,254.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Matthew,Cox,Cox,a,,,3.9,727,82.0,0.2,385,58.0,0.0,455.0,46.0,0,0,0.0,-1,1.0,45,54,0.0,0.0,0.0,0.0,0.0,513.0,52.0,,,506.0,52.0,493.0,39.0,460.0,24.0,507.0,52.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Julian,Eyestone,Eyestone,a,,,3.9,734,84.0,0.1,427,66.0,0.0,462.0,48.0,0,0,0.0,-1,1.0,20,64,0.0,0.0,0.0,0.0,0.0,520.0,54.0,,,513.0,54.0,500.0,41.0,467.0,26.0,514.0,54.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Hákon Rafn,Valdimarsson,Valdimarsson,a,,,3.9,728,83.0,0.7,221,29.0,0.0,456.0,47.0,0,0,0.0,-1,1.0,57,211,0.0,0.0,0.0,0.0,0.0,514.0,53.0,,,507.0,53.0,494.0,40.0,461.0,25.0,508.0,53.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,David,Raya Martín,Raya,a,,,6.0,85,1.0,36.3,5,1.0,3.7,78.0,7.0,2,0,0.0,5,-5.0,5405,9528,0.6,12.8,4.7,4.7,4.3,56.0,3.0,,,97.0,16.0,346.0,3.0,763.0,88.0,241.0,14.0,,,,,,,,0.0,0.0,0.0,0.61,1.61,0.5,0.61,1.0,0.0,18,2.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,11.0,18973.0,26389.0,0.0,0.0,0.0,0.0,0.8000000000000007,21.599999999999966,10.0,0.0,3.1999999999999993,0.0,0.0,6.0,0.0
25,Ethan,Nwaneri,Nwaneri,a,,,5.1,236,145.0,0.1,428,143.0,0.0,728.0,317.0,0,0,0.0,-4,4.0,32,58,0.0,1.6,1.0,1.0,1.3,389.0,177.0,,,423.0,192.0,344.0,183.0,314.0,165.0,398.0,184.0,,,,,,,,0.13,0.04,0.17,0.4,0.0,0.55,0.0,0.0,7.09,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
