id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
535,Dennis,Cirkin,Cirkin,a,,,4.0,642,170.0,0.0,684,234.0,0.0,468.0,180.0,0,0,0.0,0,0.0,120,13,0.0,0.0,0.0,0.0,0.0,537.0,201.0,100.0,100.0,532.0,203.0,518.0,202.0,486.0,191.0,531.0,203.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
536,Leo Fuhr,Hjelde,Hjelde,d,Lack of match fitness - 25% chance of playing,,4.0,650,173.0,0.0,733,248.0,0.0,475.0,182.0,0,0,0.0,0,0.0,0,4,0.0,0.0,0.0,0.0,0.0,544.0,203.0,25.0,25.0,539.0,205.0,525.0,204.0,493.0,193.0,538.0,205.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
537,Niall,Huggins,Huggins,u,has joined Wycombe Wanderers on loan for the rest of the season.,,4.0,652,174.0,0.1,498,181.0,0.0,477.0,183.0,0,0,0.0,0,0.0,0,23,0.0,0.0,0.0,0.0,0.0,546.0,204.0,0.0,0.0,541.0,206.0,527.0,205.0,495.0,194.0,540.0,206.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
538,Zak,Johnson,Johnson,a,,,3.9,722,217.0,0.2,341,122.0,0.0,434.0,161.0,0,0,0.0,-1,1.0,56,121,0.0,0.0,0.0,0.0,0.0,504.0,183.0,,,499.0,185.0,483.0,184.0,450.0,172.0,498.0,185.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,Maxime,Estève,Estève,a,,,3.9,712,213.0,11.4,33,12.0,2.8,126.0,44.0,1,0,0.0,-1,1.0,8068,7213,0.7,10.8,2.8,2.8,2.6,214.0,79.0,,,40.0,18.0,224.0,62.0,225.0,59.0,125.0,42.0,,,,,,,,0.03,0.02,0.05,2.11,0.0,0.13,2.07,1.01,10.12,16,1.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,24259.0,24558.0,0.0,0.21999999999999997,0.010000000000000009,0.2300000000000001,2.230000000000004,11.400000000000034,1.2999999999999972,16.0,2.8999999999999986,1.0,3.0,7.0,4.0
330,Sander,Berge,Berge,a,,,4.9,301,186.0,0.1,512,178.0,1.8,201.0,91.0,2,0,0.0,-1,1.0,127,84,0.4,7.3,1.8,1.8,2.2,263.0,116.0,,,154.0,60.0,74.0,54.0,264.0,143.0,149.0,75.0,,,,,,,,0.04,0.05,0.09,1.36,0.0,0.19,1.62,1.03,8.08,16,2.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,342.0,210.0,0.0,0.0,0.18999999999999995,0.19000000000000017,2.460000000000001,21.0,16.799999999999983,0.0,3.799999999999997,2.0,3.0,4.0,9.0
331,Tom,Cairney,Cairney,a,,,4.8,339,211.0,0.0,631,255.0,0.2,371.0,173.0,0,0,0.0,-2,2.0,25,24,0.0,1.9,0.2,0.2,1.1,389.0,179.0,100.0,100.0,399.0,181.0,287.0,166.0,310.0,164.0,369.0,176.0,,,,,,,,0.2,0.07,0.27,1.49,0.0,0.0,2.27,0.45,5.91,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
332,Saša,Lukić,Lukić,a,,,5.0,250,154.0,0.1,529,188.0,0.8,302.0,140.0,1,0,0.0,0,0.0,53,71,0.2,6.2,0.8,0.8,2.4,237.0,106.0,100.0,100.0,197.0,82.0,47.0,39.0,197.0,115.0,122.0,66.0,1.0,,,,,,,0.16,0.12,0.28,1.58,0.0,0.12,1.76,1.17,10.07,16,1.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,135.0,209.0,0.0,0.0,0.0,0.0,0.5299999999999994,7.399999999999977,0.0,0.0,0.7000000000000028,1.0,3.0,1.0,5.0
333,Martial,Godo,Godo,u,has joined Strasbourg permanently.,,4.5,456,276.0,0.0,640,261.0,0.0,627.0,251.0,0,0,0.0,0,0.0,0,8,0.0,0.0,0.0,0.0,0.0,672.0,277.0,0.0,0.0,670.0,274.0,663.0,274.0,649.0,271.0,671.0,275.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
334,Luke,Harris,Harris,u,Has joined Oxford United on loan for the rest of the season.,,4.5,440,264.0,0.0,752,332.0,0.0,614.0,240.0,0,0,0.0,0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,660.0,267.0,0.0,0.0,657.0,263.0,650.0,263.0,636.0,260.0,658.0,264.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
