id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
5,Gabriel,dos Santos Magalhães,Gabriel,d,Thigh injury - 25% chance of playing,,6.2,77,3.0,12.5,30,10.0,0.0,755.0,253.0,0,0,0.0,2,-2.0,2236,54046,0.0,13.1,0.2,0.2,7.4,2.0,1.0,25.0,25.0,65.0,28.0,243.0,71.0,179.0,38.0,142.0,51.0,,,,,,,,0.07,0.06,0.13,0.56,0.0,0.64,0.45,1.0,9.09,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2460.0,67695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Joe,Gauci,Gauci,u,Has joined Port Vale on loan for the rest of the season.,,4.0,648,52.0,0.1,463,74.0,0.0,487.0,63.0,0,0,0.0,0,0.0,0,191,0.0,0.0,0.0,0.0,0.0,548.0,69.0,0.0,0.0,542.0,69.0,529.0,58.0,497.0,43.0,542.0,69.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,Enock,Agyei,Boateng,a,,,4.7,381,237.0,0.0,587,221.0,0.0,672.0,280.0,0,0,0.0,-3,3.0,212,118,0.0,0.0,0.0,0.0,0.0,705.0,299.0,,,706.0,299.0,700.0,298.0,687.0,295.0,706.0,299.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Kim,Ji-soo,Ji-soo,u,has joined Kaiserslautern on loan for the rest of the season.,,3.9,738,224.0,0.1,480,175.0,0.0,461.0,176.0,0,0,0.0,-1,1.0,0,115,0.0,0.0,0.0,0.0,0.0,522.0,191.0,0.0,0.0,516.0,193.0,501.0,193.0,468.0,183.0,516.0,193.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,Kevin,Schade,Schade,a,,,7.0,40,24.0,0.8,209,74.0,1.6,236.0,109.0,3,0,0.0,0,0.0,5914,7375,0.2,7.1,1.6,1.6,3.1,172.0,75.0,100.0,100.0,128.0,47.0,75.0,56.0,18.0,10.0,35.0,26.0,,,3.0,,,,,0.26,0.07,0.33,1.12,0.0,0.27,1.16,1.02,6.87,17,3.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,13799.0,8760.0,0.0,0.54,0.030000000000000027,0.5700000000000003,1.2700000000000014,12.800000000000011,14.199999999999989,57.0,8.400000000000006,0.0,2.0,3.0,5.0
240,Christopher,Nkunku,Nkunku,u,has joined AC Milan permanently.,,5.9,96,63.0,0.1,493,169.0,0.0,752.0,335.0,0,0,0.0,-1,1.0,0,30,0.0,0.0,0.0,0.0,0.0,759.0,337.0,0.0,0.0,760.0,337.0,760.0,337.0,759.0,337.0,760.0,337.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,Tyrique,George,George,a,,,4.8,366,229.0,0.1,547,198.0,0.0,684.0,288.0,0,0,0.0,-2,2.0,129,133,0.0,0.8,0.0,0.0,1.0,436.0,205.0,,,423.0,193.0,391.0,194.0,242.0,131.0,385.0,180.0,,,,,,,,0.2,0.05,0.25,1.05,0.0,0.63,1.27,0.0,1.9,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,Kiernan,Dewsbury-Hall,Dewsbury-Hall,d,Hamstring injury - 25% chance of playing,,5.0,248,153.0,5.5,71,24.0,5.4,17.0,8.0,0,-1,1.0,0,0.0,3391,197365,1.1,15.0,1.4,0.0,5.0,21.0,9.0,25.0,0.0,92.0,29.0,34.0,32.0,69.0,42.0,39.0,30.0,2.0,,,,,,,0.11,0.2,0.31,1.26,0.0,0.43,1.15,1.07,7.8,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3977.0,290018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,Séamus,Coleman,Coleman,i,Hamstring injury - Unknown return date,,4.3,544,120.0,0.1,473,173.0,0.0,531.0,219.0,0,0,0.0,-2,2.0,19,223,0.0,0.7,0.0,0.0,1.0,409.0,150.0,0.0,0.0,584.0,235.0,436.0,162.0,544.0,228.0,584.0,235.0,,,,,,,,0.0,0.0,0.0,1.96,0.0,0.0,0.0,8.18,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
461,Jayce,Fitzgerald,Fitzgerald,a,,,4.4,530,314.0,0.0,601,230.0,0.0,586.0,216.0,0,0,0.0,-1,1.0,76,70,0.0,0.0,0.0,0.0,0.0,631.0,243.0,,,626.0,237.0,618.0,237.0,599.0,231.0,627.0,238.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
